"","Estimate","Lower","Upper","analysis","modelForm","stepDist","turnDist","availablePerStep","branches","species","indi","tf","td","sigColour"
"ssfOUT_7_0.5_1_VULTURE.21",0.406157579209186,-0.394362997031515,1.20667815544989,"ssf","mf.ss","gamma","vonmises",5,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"no effect"
"ssfOUT_7_0.5_1_VULTURE.22",0.771031279454117,0.00905287866823501,1.53300968024,"ssf","mf.ss","gamma","vonmises",15,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.23",0.832832257043326,0.077125282087659,1.58853923199899,"ssf","mf.ss","gamma","vonmises",50,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.24",1.01756534685487,0.256147927549647,1.77898276616009,"ssf","mf.ss","gamma","vonmises",158,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.25",0.943331916774145,0.180483545635526,1.70618028791276,"ssf","mf.ss","gamma","vonmises",500,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.26",1.09185728282754,0.287247772535743,1.89646679311934,"ssf","mf.ss","gamma","unif",5,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.27",0.759046794068788,-0.00672692881702608,1.5248205169546,"ssf","mf.ss","gamma","unif",15,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"no effect"
"ssfOUT_7_0.5_1_VULTURE.28",0.961101986713288,0.19179852826114,1.73040544516544,"ssf","mf.ss","gamma","unif",50,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.29",0.95397083824458,0.191960560580724,1.71598111590844,"ssf","mf.ss","gamma","unif",158,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.30",0.98096377794715,0.221544577928159,1.74038297796614,"ssf","mf.ss","gamma","unif",500,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.31",0.98448258004769,0.186360612345904,1.78260454774948,"ssf","mf.ss","exp","vonmises",5,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.32",0.882557858613112,0.105798072412875,1.65931764481335,"ssf","mf.ss","exp","vonmises",15,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.33",0.807378453139673,0.0293752397768162,1.58538166650253,"ssf","mf.ss","exp","vonmises",50,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.34",0.978721408310447,0.20695449321212,1.75048832340877,"ssf","mf.ss","exp","vonmises",158,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.35",0.932160408009787,0.164071679048517,1.70024913697106,"ssf","mf.ss","exp","vonmises",500,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.36",0.445572884736032,-0.511688421106754,1.40283419057882,"ssf","mf.ss","exp","unif",5,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"no effect"
"ssfOUT_7_0.5_1_VULTURE.37",0.614512534071585,-0.161982992856696,1.39100806099987,"ssf","mf.ss","exp","unif",15,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"no effect"
"ssfOUT_7_0.5_1_VULTURE.38",0.962524357932908,0.186820281708674,1.73822843415714,"ssf","mf.ss","exp","unif",50,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.39",1.05980161019251,0.285873138950809,1.83373008143422,"ssf","mf.ss","exp","unif",158,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.40",0.952066853176536,0.182791201451782,1.72134250490129,"ssf","mf.ss","exp","unif",500,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_KINGCOBRA.1",14.8399943378481,-2018.73908966773,2048.41907834343,"ssf","mf.is","gamma","vonmises",5,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.2",14.8614519259516,-1387.84743959399,1417.57034344589,"ssf","mf.is","gamma","vonmises",15,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.3",14.5310017258578,-1556.29262622183,1585.35462967355,"ssf","mf.is","gamma","vonmises",50,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.4",14.5359541714222,-1640.260241619,1669.33214996184,"ssf","mf.is","gamma","vonmises",158,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.5",14.4853589951642,-1445.95422098638,1474.92493897671,"ssf","mf.is","gamma","vonmises",500,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.6",13.7952348569079,-1736.15618277752,1763.74665249133,"ssf","mf.is","gamma","unif",5,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.7",14.4299519409353,-1589.28965264864,1618.14955653051,"ssf","mf.is","gamma","unif",15,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.8",14.46777906124,-1652.77230320429,1681.70786132677,"ssf","mf.is","gamma","unif",50,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
